Gyro_X,2.807617188, Gyro_Y,-4.943847656, Gyro_Z,-3.662109375, Gyro_M,221071608, Accel_X,0.102172852, Accel_Y,-0.010375977, Accel_Z,1.003051758, Accel_M,221072938, derec,879, derec_M,221074613, izq,879, izq_M,221073775
Gyro_X,2.807617188, Gyro_Y,-5.065917969, Gyro_Z,-3.723144531, Gyro_M,221082284, Accel_X,0.100830078, Accel_Y,-0.011230469, Accel_Z,1.001831055, Accel_M,221083615, derec,883, derec_M,221085289, izq,872, izq_M,221084452
Gyro_X,2.868652344, Gyro_Y,-5.004882813, Gyro_Z,-3.662109375, Gyro_M,221092735, Accel_X,0.102539063, Accel_Y,-0.009521484, Accel_Z,1.002197266, Accel_M,221094068, derec,885, derec_M,221095742, izq,872, izq_M,221094905
Gyro_X,2.746582031, Gyro_Y,-4.943847656, Gyro_Z,-3.723144531, Gyro_M,221103403, Accel_X,0.101806641, Accel_Y,-0.010375977, Accel_Z,1.002563477, Accel_M,221104735, derec,878, derec_M,221106410, izq,881, izq_M,221105572
Gyro_X,2.807617188, Gyro_Y,-4.943847656, Gyro_Z,-3.662109375, Gyro_M,221114093, Accel_X,0.102783203, Accel_Y,-0.010375977, Accel_Z,1.001831055, Accel_M,221115424, derec,891, derec_M,221117098, izq,876, izq_M,221116261
Gyro_X,2.746582031, Gyro_Y,-4.8828125, Gyro_Z,-3.723144531, Gyro_M,221124775, Accel_X,0.100463867, Accel_Y,-0.010864258, Accel_Z,1.001831055, Accel_M,221126106, derec,888, derec_M,221127780, izq,879, izq_M,221126943
Gyro_X,2.807617188, Gyro_Y,-4.943847656, Gyro_Z,-3.601074219, Gyro_M,221135977, Accel_X,0.101806641, Accel_Y,-0.010620117, Accel_Z,1.00378418, Accel_M,221137307, derec,883, derec_M,221138982, izq,879, izq_M,221138144
Gyro_X,2.685546875, Gyro_Y,-5.004882813, Gyro_Z,-3.723144531, Gyro_M,221146809, Accel_X,0.100952148, Accel_Y,-0.010498047, Accel_Z,1.002563477, Accel_M,221148140, derec,879, derec_M,221149814, izq,875, izq_M,221148976
Gyro_X,2.746582031, Gyro_Y,-5.004882813, Gyro_Z,-3.723144531, Gyro_M,221157534, Accel_X,0.103637695, Accel_Y,-0.010986328, Accel_Z,1.001586914, Accel_M,221158865, derec,883, derec_M,221160539, izq,877, izq_M,221159701
Gyro_X,2.746582031, Gyro_Y,-5.065917969, Gyro_Z,-3.723144531, Gyro_M,221167922, Accel_X,0.101928711, Accel_Y,-0.010498047, Accel_Z,1.002441406, Accel_M,221169253, derec,887, derec_M,221170927, izq,872, izq_M,221170090
Gyro_X,2.746582031, Gyro_Y,-5.004882813, Gyro_Z,-3.723144531, Gyro_M,221178424, Accel_X,0.101928711, Accel_Y,-0.010498047, Accel_Z,1.002319336, Accel_M,221179754, derec,884, derec_M,221181428, izq,878, izq_M,221180591
Gyro_X,2.807617188, Gyro_Y,-4.8828125, Gyro_Z,-3.723144531, Gyro_M,221188843, Accel_X,0.099853516, Accel_Y,-0.010009766, Accel_Z,1.001342773, Accel_M,221190174, derec,886, derec_M,221191848, izq,878, izq_M,221191011
Gyro_X,2.807617188, Gyro_Y,-5.126953125, Gyro_Z,-3.723144531, Gyro_M,221199553, Accel_X,0.10144043, Accel_Y,-0.008178711, Accel_Z,1.002563477, Accel_M,221200884, derec,891, derec_M,221202558, izq,879, izq_M,221201721
Gyro_X,2.746582031, Gyro_Y,-5.004882813, Gyro_Z,-3.723144531, Gyro_M,221210281, Accel_X,0.102905273, Accel_Y,-0.010620117, Accel_Z,1.002319336, Accel_M,221211612, derec,886, derec_M,221213286, izq,893, izq_M,221212449
Gyro_X,2.746582031, Gyro_Y,-5.004882813, Gyro_Z,-3.723144531, Gyro_M,221220594, Accel_X,0.101928711, Accel_Y,-0.01159668, Accel_Z,1.001464844, Accel_M,221221924, derec,882, derec_M,221223599, izq,843, izq_M,221222761
Gyro_X,2.685546875, Gyro_Y,-4.943847656, Gyro_Z,-3.662109375, Gyro_M,221230907, Accel_X,0.102416992, Accel_Y,-0.009399414, Accel_Z,1.002807617, Accel_M,221232238, derec,886, derec_M,221233912, izq,882, izq_M,221233075
Gyro_X,2.746582031, Gyro_Y,-4.943847656, Gyro_Z,-3.784179688, Gyro_M,221241415, Accel_X,0.100219727, Accel_Y,-0.010375977, Accel_Z,1.003051758, Accel_M,221242746, derec,886, derec_M,221244420, izq,882, izq_M,221243583
Gyro_X,2.868652344, Gyro_Y,-4.943847656, Gyro_Z,-3.723144531, Gyro_M,221252101, Accel_X,0.101074219, Accel_Y,-0.010498047, Accel_Z,1.002807617, Accel_M,221253432, derec,894, derec_M,221255106, izq,879, izq_M,221254269
Gyro_X,2.807617188, Gyro_Y,-5.004882813, Gyro_Z,-3.662109375, Gyro_M,221262515, Accel_X,0.10144043, Accel_Y,-0.010742188, Accel_Z,1.002563477, Accel_M,221263846, derec,882, derec_M,221265520, izq,880, izq_M,221264683
Gyro_X,2.746582031, Gyro_Y,-4.821777344, Gyro_Z,-3.723144531, Gyro_M,221272907, Accel_X,0.10168457, Accel_Y,-0.010620117, Accel_Z,1.001831055, Accel_M,221274238, derec,906, derec_M,221275912, izq,870, izq_M,221275075
